AREA (KM2)	VOLUME (HM3)	VOLUME (M3)	Afluência (m³/s)	Defluência (m³/s)
110.9284368	4657.863672	4657863672	1187.87	655
114.4758806	4842.55985	4842559850	2536.89	248
117.9111943	5022.029089	5022029089	3038.85	776
119.8454332	5123.331824	5123331824	2788.77	1500
121.0663445	5187.366197	5187366197	2485.62	1670
122.1394556	5243.705805	5243705805	2337.04	1600
123.1970906	5299.284321	5299284321	2182.8	1460
123.943767	5338.552366	5338552366	2046.9	1530
123.7624448	5329.014256	5329014256	1934.07	2060
123.7624448	5329.014256	5329014256	1900	1900
123.943767	5338.552366	5338552366	1880.19	1770
124.0571942	5344.51973	5344519730	1814.44	1720
124.0345026	5343.325885	5343325885	1894.26	1910
124.1479918	5349.296972	5349296972	1892.96	1830
124.2388391	5354.077192	5354077192	1858.7	1780
124.2842813	5356.46842	5356468420	1741.48	1710
124.4661745	5366.040783	5366040783	1651.67	1510
124.8077603	5384.021121	5384021121	1540.37	1320
124.9902255	5393.6278	5393627800	1435.93	1310
125.3786255	5414.081683	5414081683	1337.59	1070
125.3786255	5414.081683	5414081683	1220	1220
125.4472601	5417.696799	5417696799	1127.22	1080
125.5846136	5424.932083	5424932083	1022.44	928
125.0587013	5397.233385	5397233385	867.96	1230
124.6938206	5378.023012	5378023012	778.15	1030
124.6938206	5378.023012	5378023012	757	757
124.3979413	5362.449749	5362449749	663.37	868
123.6945001	5325.440533	5325440533	532.04	1020
123.1745167	5298.097537	5298097537	495.86	855
123.2196676	5300.47129	5300471290	464.79	434
122.7912329	5277.950589	5277950589	542.75	835
122.0497589	5238.994594	5238994594	522.59	1030
121.0663445	5187.366197	5187366197	484.42	1160
120.5990844	5162.851114	5162851114	672.54	984
120.5990844	5162.851114	5162851114	805	805
121.0663445	5187.366197	5187366197	779.46	468
122.0946011	5241.34983	5241349830	848.25	142
121.9377072	5233.109739	5233109739	719.36	827
121.6467332	5217.83072	5217830720	670.12	870
